Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
117,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,September 23,28,10,,W,19,7,,N,,-28.16666667,19.11666667,09/23/63,,
118,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,Ditto,27,53,,W,19,7,,N,,-27.88333333,19.11666667,Ditto,,
119,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 24,,,,,18,21,,N,,,18.35,10/24/63,,
120,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 25,,,,,17,32,,N,,,17.53333333,10/25/63,,
121,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 26,,,,,17,2,,N,,,17.03333333,10/26/63,,
122,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 27,,,,,16,24,,N,,,16.4,10/27/63,,
123,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 28,,,,,15,56,,N,,,15.93333333,10/28/63,,
124,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 29,,,,,15,21,,,,,15.35,10/29/63,,
125,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 30,,,,,14,53,,,,,14.88333333,10/30/63,,
126,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,,,October 31,,,,,,,,,,,,10/31/63,,
127,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,,,November 1,,,,,,,,,,,,11/01/63,,
128,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,November 1,,,,,14,17,,N,,,14.28333333,11/01/63,,
129,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,November 2,,,,,14,9,,,,,14.15,11/02/63,,
130,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,November 3,,,,,13,36,,N,,,13.6,11/03/63,,
131,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,November 4,,,,,13,21,,N,,,13.35,11/04/63,,
132,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,,,November 5,,,,,,,,,,,,11/05/63,,
133,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,,,November 6,,,,,13,12,,N,,,13.2,11/06/63,,
134,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/82,,Ship,,November 7,,,,,13,3,43,N,,,13.06194444,11/07/63 Ship,,
135,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
136,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
137,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
138,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
139,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
140,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
141,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,11,,,,,14.18333333,11/02/63,,
142,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,10,,,,,14.16666667,11/02/63,,
143,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,10,,,,,14.16666667,11/02/63,,
144,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,10,,,,,14.16666667,11/02/63,,
145,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/88,,,,November 2,,,,,14,9,,,,,14.15,11/02/63,,
146,,,,,,,,,,,,,,,,,,,12/30/63,,
147,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,,,,,November 1,47,6,15,,,,,,,-47.10416667,,11/01/63,,
148,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,,,,,November 1,47,42,,,,,,,,-47.7,,11/01/63,,
149,,,,,,,November 1,,OR,,,,,,,,,,,,
150,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/90,,,,,November 1,47,16,,,,,,,,-47.26666667,,11/01/63,,
151,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,November 2,48,44,,W,,,,,,-48.73333333,,11/02/63,,
152,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,November 2,49,17,,,,,,,,-49.28333333,,11/02/63,,
153,,,,,,,,,OR,,,,,,,,,,12/30/63,,
154,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,,49,29,,,,,,,,-49.48333333,,12/30/63,,
155,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,,49,23,,W,,,,,,-49.38333333,,12/30/63,,
156,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,November 3,51,49,,,,,,,,-51.81666667,,11/03/63,,
157,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/91,,,,,November 4,54,20,,,,,,,,-54.33333333,,11/04/63,,
158,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,,,,,November 2,49,29,,,,,,,,-49.48333333,,11/02/63,,
159,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,,,,,November 3,51,55,,,,,,,,-51.91666667,,11/03/63,,
160,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,,,,,November 3,58,50,,,,,,,,-58.83333333,,11/03/63,,
161,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,,,,,November 2,48,44,,,,,,,,-48.73333333,,11/02/63,,
162,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/92,,,,,November 2,49,29,,W,,,,,,-49.48333333,,11/02/63,,
163,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,November 2,,,,,14,14,,N,,,14.23333333,11/02/63,,
164,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,November 2,,,,,14,13,,,,,14.21666667,11/02/63,,
165,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,November 2,,,,,14,12,,,,,14.2,11/02/63,,
166,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,November 2,,,,,14,9,,,,,14.15,11/02/63,,
167,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,,November 2,47,15,,,,,,,,47.25,,11/02/63,,
168,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,,November 2,48,44,,,,,,,,48.73333333,,11/02/63,,
169,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,,November 3,51,4,,,,,,,,51.06666667,,11/03/63,,
170,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/94,,,,November 2,,,,,14,14,,,,,14.23333333,11/02/63,,
171,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,,,,,November 1,47,16,,,,,,,,47.26666667,,11/01/63,,
172,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,,,,,November 2,48,45,,,,,,,,48.75,,11/02/63,,
173,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,,,,,November 1,47,16,,W,,,,,,-47.26666667,,11/01/63,,
174,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/95,,,,,October 31,44,56,,,,,,,,44.93333333,,10/31/63,,
175,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,,,November 1,,,,,14,17,,,,,14.28333333,11/01/63,,
176,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,,,,November 1,47,6,15,,,,,,,47.10416667,,11/01/63,,
177,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,Ship,,October 31,,,,,14,21,,,,,14.35,10/31/63 Ship,,
178,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,,,,October 31,44,29,,,,,,,,44.48333333,,10/31/63,,
179,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,,,,November 1,46,34,,,,,,,,46.56666667,,11/01/63,,
180,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/97,,,,,November 1,47,4,,,,,,,,47.06666667,,11/01/63,,
181,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/99,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/99,,,,,October 31,44,29,,,,,,,,44.48333333,,10/31/63,,
182,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,,,October 31,,,,,14,39,,,,,14.65,10/31/63,,
183,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,,,,October 31,44,34,,,,,,,,44.56666667,,10/31/63,,
184,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,,,October 31,,,,,14,38,,,,,14.63333333,10/31/63,,
185,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,,,October 31,,,,,14,42,,,,,14.7,10/31/63,,
186,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/100,,,,October 30,,,,,14,39,,,,,14.65,10/30/63,,
187,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,October 23,,,,,19,17,,N,,,19.28333333,10/23/63,,
188,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,,October 23,28,3,,W,,,,,,-28.05,,10/23/63,,
189,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,,October 23,27,46,,W,,,,,,-27.76666667,,10/23/63,,
190,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/99,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/99,,,,,October 31,46,1,,,,,,,,46.01666667,,10/31/63,,
191,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,October 23,,,,,21,57,,,,,21.95,10/23/63,,
192,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,,October 23,28,10,,,,,,,,28.16666667,,10/23/63,,
193,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/101,,,,,October 23,17,53,,,,,,,,17.88333333,,10/23/63,,
194,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/102,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/102,,,,October 11,,,,,29,41,,,,,29.68333333,10/11/63,,
195,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/103,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/103,,,,,October 11,24,26,,,,,,,,24.43333333,,10/11/63,,
196,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/105,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/105,,,,October 20,,,,,29,46,,,,,29.76666667,10/20/63,,
197,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/105,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/105,,,,,October 20,22,36,,,,,,,,22.6,,10/20/63,,
198,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,,,October 2,14,35,,,,,,,,14.58333333,,10/02/63,,
199,,,,,,,,OR,,,,,,,,,,,12/30/99,,
200,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,,,October 2,14,53,,,,,,,,14.88333333,,10/02/63,,
201,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,,,October 3,14,43,,,,,,,,14.71666667,,10/03/63,,
202,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,,,October 4,15,4,,,,,,,,15.06666667,,10/04/63,,
203,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,October 5,15,21,,W,33,53,,N,,-15.35,33.88333333,10/05/63,,
204,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,October 6,15,58,,,33,7,,,,-15.96666667,33.11666667,10/06/63,,
205,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,October 5,15,21,,,34,2,,N,,-15.35,34.03333333,10/05/63,,
206,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/108,,,October 6,15,58,,,33,7,,,,-15.96666667,33.11666667,10/06/63,,
207,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 1,14,41,,,,,,,,14.68333333,,10/01/63,,
208,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 2,14,53,,,,,,,,14.88333333,,10/02/63,,
209,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 9,21,46,,,,,,,,21.76666667,,10/09/63,,
210,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 11,23,22,,,,,,,,23.36666667,,10/11/63,,
211,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 12,22,8,,,,,,,,22.13333333,,10/12/63,,
212,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 16,24,27,,,,,,,,24.45,,10/16/63,,
213,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 18,24,48,,,,,,,,24.8,,10/18/63,,
214,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 19,24,51,,,,,,,,24.85,,10/19/63,,
215,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 20,24,51,,,,,,,,24.85,,10/20/63,,
216,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 23,28,1,,,,,,,,28.01666667,,10/23/63,,
217,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 24,29,37,,,,,,,,29.61666667,,10/24/63,,
218,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 25,31,20,,,,,,,,31.33333333,,10/25/63,,
219,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 26,33,18,,,,,,,,33.3,,10/26/63,,
220,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,October 31,44,32,,,,,,,,44.53333333,,10/31/63,,
221,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,November 1,46,37,,,,,,,,46.61666667,,11/01/63,,
222,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,November 2,48,7,,,,,,,,48.11666667,,11/02/63,,
223,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/109,,,,,November 7,57,39,,,,,,,,57.65,,11/07/63,,
224,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,,,UNSURE,,,,,29,46,,,,,29.76666667,UNSURE,,
225,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,,,Ditto,,,,,29,46,,,,,29.76666667,Ditto,,
226,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,,,Ditto,,,,,29,46,,,,,29.76666667,Ditto,,
227,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/47,,,,Ditto,,,,,29,49,,,,,29.81666667,Ditto,,
228,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,,,UNSURE,,,,,29,48,,,,,29.8,UNSURE,,
229,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,,,Ditto,,,,,29,47,,,,,29.78333333,Ditto,,
230,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,,,Ditto,,,,,29,46,,,,,29.76666667,Ditto,,
231,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,,,Ditto,,,,,29,41,,,,,29.68333333,Ditto,,
232,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/49,,,,Ditto,,,,,29,40,,,,,29.66666667,Ditto,,
233,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/43,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/43,,,,October 6,,,,,32,52,,,,,32.86666667,10/06/63,,
234,,,,,,,,,,,,,OR,,,,,,,,
235,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/43,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/43,,,,Ditto,,,,,32,49,,,,,32.81666667,Ditto,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,BLANK PAGES ARE AS FOLLOW,,,,,,,,,,,,,,,,,,,,
,1,36,71,87,,,,,,,,,,,,,,,,,
,2,45,73,112,,,,,,,,,,,,,,,,,
,3,51,75,,,,,,,,,,,,,,,,,,
,19,53,76,,,,,,,,,,,,,,,,,,
,21,55,77,,,,,,,,,,,,,,,,,,
,23,57,81,,,,,,,,,,,,,,,,,,
,25,59,83,,,,,,,,,,,,,,,,,,
,27,61,84,,,,,,,,,,,,,,,,,,
,30,63,85,,,,,,,,,,,,,,,,,,
,32,65,86,,,,,,,,,,,,,,,,,,